,Repository,owner,name_with_owner,url,homepage_url,description,stars,forks,disk_usage,is_fork,is_mirror,is_private,is_archived,is_template,has_issues_enabled,has_projects_enabled,has_wiki_enabled,merge_commit_allowed,rebase_merge_allowed,squash_merge_allowed,created_at,updated_at,pushed_at,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,PackageCount,ProjectCount,ReleaseCount,SubmoduleCount,DeployKeyCount,TopicCount,License,CodeOfConduct,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages,Fork PullRequest Count,Review Count
75,aws-login,BCDevOps,BCDevOps/aws-login,https://github.com/BCDevOps/aws-login,,AWS login facility that supports web console access as well as temporary credential generation.,1,3,106,False,False,False,False,False,True,True,True,True,True,True,2020-06-29T20:15:27Z,2021-05-06T18:12:10Z,2021-05-06T18:12:07Z,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,0,0,0,0,0,0,,Contributor Covenant,303,0,7,24,0,0.0,0.02,0.08,master,HTML_JavaScript_HCL,0,3
76,bcgov-terraform-module-template,BCDevOps,BCDevOps/bcgov-terraform-module-template,https://github.com/BCDevOps/bcgov-terraform-module-template,,A template repo for BC Gov Terraform module repos.,0,1,17,False,False,False,False,True,True,True,True,True,True,True,2020-07-17T23:32:59Z,2020-07-17T23:44:07Z,2020-07-17T23:43:49Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,285,0,0,2,0,0.0,0.0,0.01,master,HCL,0,0
77,terraform-aws-account-set,BCDevOps,BCDevOps/terraform-aws-account-set,https://github.com/BCDevOps/terraform-aws-account-set,,A Terraform module to automate consistent provisioning of 'account sets' (project workspaces) in an AWS organization.,0,0,9,False,False,False,False,False,True,True,True,True,True,True,2020-07-17T23:46:20Z,2020-07-17T23:46:25Z,2020-07-17T23:46:23Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,285,0,0,1,0,0.0,0.0,0.0,master,HCL,0,0
78,terraform-aws-organization-info,BCDevOps,BCDevOps/terraform-aws-organization-info,https://github.com/BCDevOps/terraform-aws-organization-info,,A Terraform module that provides info/data about an existing AWS organization that is not available from AWS TF provider.,1,0,11,False,False,False,False,False,True,True,True,True,True,True,2020-07-22T19:36:47Z,2020-11-17T20:05:46Z,2020-10-19T19:05:52Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,280,0,0,4,0,0.0,0.0,0.01,master,HCL,0,0
79,terraform-octk-tf-workspace,BCDevOps,BCDevOps/terraform-octk-tf-workspace,https://github.com/BCDevOps/terraform-octk-tf-workspace,,"A Terraform module for creating Terraform Cloud (or Enterprise) workspaces and related resources, ready use as part of an automated pipeline.",0,0,10,False,False,False,False,False,True,True,True,True,True,True,2020-07-23T22:22:59Z,2020-12-02T04:38:24Z,2020-12-02T04:38:22Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,279,0,0,2,0,0.0,0.0,0.01,master,HCL,0,0
80,terraform-octk-aws-workspace,BCDevOps,BCDevOps/terraform-octk-aws-workspace,https://github.com/BCDevOps/terraform-octk-aws-workspace,,A Terraform module that can create multi-account (environment) 'workspaces' in AWS in a consistent manner.,0,0,9,False,False,False,False,False,True,True,True,True,True,True,2020-07-28T23:13:45Z,2020-07-28T23:13:50Z,2020-07-28T23:13:47Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,274,0,0,1,0,0.0,0.0,0.0,master,HCL,0,0
81,terraform-keycloak-role-group-simplification,BCDevOps,BCDevOps/terraform-keycloak-role-group-simplification,https://github.com/BCDevOps/terraform-keycloak-role-group-simplification,,"A Terraform module to create roles, groups, and mappings based on a set of simple conventions. This is of particular use where KeyCloak is being used to control access to a system which has a large number of resources, each requiring a unique set of role definitions.  For example, access to a public cloud environment where KeyCloak is used as the SSO identity provider.",0,0,14,False,False,False,False,False,True,True,True,True,True,True,2020-08-18T20:03:00Z,2021-03-11T05:25:16Z,2021-03-11T05:25:14Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,253,0,0,9,0,0.0,0.0,0.04,master,HCL,0,0
82,terraform-octk-gcp-workspace,BCDevOps,BCDevOps/terraform-octk-gcp-workspace,https://github.com/BCDevOps/terraform-octk-gcp-workspace,,Example of how a workspace might be provisioned in GCP.,0,0,9,False,False,False,False,False,True,True,True,True,True,True,2020-08-28T21:58:45Z,2020-08-28T21:58:50Z,2020-08-28T21:58:48Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,243,0,0,1,0,0.0,0.0,0.0,master,HCL,0,0
83,terraform-gcp-project-set,BCDevOps,BCDevOps/terraform-gcp-project-set,https://github.com/BCDevOps/terraform-gcp-project-set,,A Terraform module to automate the creation of a set of related projects in GCP.,0,0,9,False,False,False,False,False,True,True,True,True,True,True,2020-08-28T22:01:52Z,2020-08-28T22:01:59Z,2020-08-28T22:01:56Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,243,0,0,1,0,0.0,0.0,0.0,master,HCL,0,0
84,terraform-aws-keycloak-lz-sso-setup,BCDevOps,BCDevOps/terraform-aws-keycloak-lz-sso-setup,https://github.com/BCDevOps/terraform-aws-keycloak-lz-sso-setup,,A Terraform module to bootstrap/setup the elements needed to provide KeyCloak-based single sign-on to an AWS Landing Zone.,0,0,29,False,False,False,False,False,True,True,True,True,True,True,2020-10-02T23:00:43Z,2021-03-11T05:26:16Z,2021-03-11T05:26:13Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,208,0,0,20,0,0.0,0.0,0.1,master,HCL_Shell,0,0
85,terraform-aws-sea-organization-info,BCDevOps,BCDevOps/terraform-aws-sea-organization-info,https://github.com/BCDevOps/terraform-aws-sea-organization-info,,A Terraform module that provides a simple way to navigate/locate accounts in a Secure Enterprise Accelerator (SEA)-based AWS organization.,0,1,11,False,False,False,False,False,True,True,True,True,True,True,2020-10-13T23:45:40Z,2021-03-05T17:32:31Z,2021-03-05T17:32:29Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,197,0,0,7,0,0.0,0.0,0.04,master,HCL,0,0
86,terraform-aws-sea-account-set,BCDevOps,BCDevOps/terraform-aws-sea-account-set,https://github.com/BCDevOps/terraform-aws-sea-account-set,,"A Terraform module to create 'account sets' in a simple, consistency manner in an AWS SEA-based landing zone.",0,0,13,False,False,False,False,False,True,True,True,True,True,True,2020-10-21T22:35:40Z,2021-03-04T04:43:15Z,2021-03-04T04:43:13Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,189,0,0,9,0,0.0,0.0,0.05,master,HCL,0,0
87,terraform-octk-aws-sea-workspace,BCDevOps,BCDevOps/terraform-octk-aws-sea-workspace,https://github.com/BCDevOps/terraform-octk-aws-sea-workspace,,A Terraform module to create OCTK workspace in an AWS SEA-based landing zone.,0,0,10,False,False,False,False,False,True,True,True,True,True,True,2020-10-21T22:37:47Z,2021-03-04T01:38:14Z,2021-03-04T01:42:35Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,189,0,0,4,0,0.0,0.0,0.02,master,HCL,0,0
88,aws-secure-environment-accelerator,BCDevOps,BCDevOps/aws-secure-environment-accelerator,https://github.com/BCDevOps/aws-secure-environment-accelerator,,The AWS Secure Environment Accelerator is a tool designed to help deploy and operate secure multi-account AWS environments on an ongoing basis. The power of the solution is the configuration file which enables the completely automated deployment of customizable architectures within AWS without changing a single line of code.,0,0,12779,True,False,False,False,False,False,True,True,True,True,True,2020-11-04T23:30:51Z,2020-11-04T23:30:53Z,2020-11-04T20:31:47Z,True,True,True,True,True,False,False,False,True,True,True,True,False,True,True,0,0,0,0,0,0,Apache License 2.0,Other,175,0,0,125,0,0.0,0.0,0.71,master,TypeScript_Python_PowerShell_HTML_JavaScript_Shell,0,0
89,terraform-octk-aws-workload-automation-setup,BCDevOps,BCDevOps/terraform-octk-aws-workload-automation-setup,https://github.com/BCDevOps/terraform-octk-aws-workload-automation-setup,,,0,0,14,False,False,False,False,False,True,True,True,True,True,True,2020-11-14T05:31:38Z,2021-03-18T03:57:24Z,2021-03-18T03:57:52Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,165,0,1,6,0,0.0,0.01,0.04,master,HCL,0,1
90,baserow,BCDevOps,BCDevOps/baserow,https://github.com/BCDevOps/baserow,,BC Gov Containerized Baserow,0,0,4,False,False,False,False,False,True,True,True,True,True,True,2020-11-18T02:10:32Z,2020-11-18T02:10:36Z,2020-11-18T02:10:34Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,161,0,0,1,0,0.0,0.0,0.01,main,,0,0
91,terraform-octk-aws-keycloak-account-set-role-setup,BCDevOps,BCDevOps/terraform-octk-aws-keycloak-account-set-role-setup,https://github.com/BCDevOps/terraform-octk-aws-keycloak-account-set-role-setup,,A Terraform module to be used as part of the tooling for setting up access to workload accounts with an AWS landing zone.,0,0,14,False,False,False,False,False,True,True,True,True,True,True,2020-11-25T00:31:19Z,2021-03-06T05:39:27Z,2021-03-11T05:30:47Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,154,0,1,8,0,0.0,0.01,0.05,master,HCL,0,0
92,cloudops,BCDevOps,BCDevOps/cloudops,https://github.com/BCDevOps/cloudops,,"A repo containing open documentation related to cloud operations processes, tooling, etc. and links to other locations  for non-BCGov, or internal documentation.",0,1,5,False,False,False,False,False,True,True,True,True,True,True,2020-11-27T18:31:49Z,2020-12-01T19:24:52Z,2020-12-01T19:24:50Z,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,,,152,0,1,4,0,0.0,0.01,0.03,main,,0,1
93,terraform-octk-aws-sea-dns,BCDevOps,BCDevOps/terraform-octk-aws-sea-dns,https://github.com/BCDevOps/terraform-octk-aws-sea-dns,,,0,0,9,False,False,False,False,False,True,True,True,True,True,True,2020-11-27T22:08:57Z,2021-02-26T05:18:27Z,2021-02-12T20:27:16Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,152,0,0,3,0,0.0,0.0,0.02,master,HCL,0,0
94,terraform-octk-tfc-workspace-set,BCDevOps,BCDevOps/terraform-octk-tfc-workspace-set,https://github.com/BCDevOps/terraform-octk-tfc-workspace-set,,A Terraform module for provisioning a set of Terraform Cloud workspaces for a team.,0,1,10,False,False,False,False,False,True,True,True,True,True,True,2020-12-01T23:27:04Z,2021-01-22T22:27:49Z,2021-01-22T23:01:36Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,148,0,1,3,0,0.0,0.01,0.02,master,HCL,0,1
95,cloud-guardrails-aws,BCDevOps,BCDevOps/cloud-guardrails-aws,https://github.com/BCDevOps/cloud-guardrails-aws,,Tools to support cloud guardrails implementation and compliance checks for AWS.,0,0,1756,True,False,False,False,False,False,True,True,True,True,True,2020-12-03T00:27:11Z,2020-12-03T00:27:13Z,2020-01-09T00:24:23Z,True,True,True,False,False,True,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,MIT License,,146,0,0,39,0,0.0,0.0,0.27,master,Shell,0,0
96,allure-framework-openshift,BCDevOps,BCDevOps/allure-framework-openshift,https://github.com/BCDevOps/allure-framework-openshift,,Openshift configurations to run Allure,0,2,70,False,False,False,False,False,True,True,True,True,True,True,2020-12-04T17:15:40Z,2021-03-31T13:33:53Z,2021-03-31T13:33:50Z,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,145,0,5,30,0,0.0,0.03,0.21,main,Shell_Dockerfile,0,3
97,sig-cli,BCDevOps,BCDevOps/sig-cli,https://github.com/BCDevOps/sig-cli,,Special Interest Group on Developing (SIG) Command Line Interface (CLI),0,0,5,False,False,False,False,False,True,True,True,True,True,True,2020-12-10T20:08:50Z,2020-12-10T20:08:59Z,2020-12-10T20:08:56Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,139,0,0,1,0,0.0,0.0,0.01,main,,0,0
98,terraform-octk-aws-sea-network-info,BCDevOps,BCDevOps/terraform-octk-aws-sea-network-info,https://github.com/BCDevOps/terraform-octk-aws-sea-network-info,,,0,2,13,False,False,False,False,False,True,True,True,True,True,True,2021-01-13T19:02:33Z,2021-04-13T00:44:23Z,2021-04-13T00:47:16Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,105,0,1,11,0,0.0,0.01,0.1,master,HCL,0,1
99,terraform-octk-aws-workload-alb,BCDevOps,BCDevOps/terraform-octk-aws-workload-alb,https://github.com/BCDevOps/terraform-octk-aws-workload-alb,,,0,1,15,False,False,False,False,False,True,True,True,True,True,True,2021-01-13T19:04:04Z,2021-03-05T21:23:47Z,2021-03-05T21:23:45Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,105,0,1,12,0,0.0,0.01,0.11,master,HCL,0,0
100,platform-services-documize,BCDevOps,BCDevOps/platform-services-documize,https://github.com/BCDevOps/platform-services-documize,,,0,0,90,False,False,False,False,False,True,True,True,False,False,True,2021-01-21T17:10:12Z,2021-03-19T17:15:15Z,2021-03-19T17:15:13Z,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,,97,12,5,4,0,0.12,0.05,0.04,main,,0,3
101,terraform-octk-aws-sea-routing,BCDevOps,BCDevOps/terraform-octk-aws-sea-routing,https://github.com/BCDevOps/terraform-octk-aws-sea-routing,,A Terraform module to automate creation of routing resources for services running within and AWS SEA Landing Zone.,0,0,18,False,False,False,False,False,True,True,True,True,True,True,2021-02-04T23:01:00Z,2021-03-10T22:46:51Z,2021-03-10T22:46:49Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,83,0,1,8,0,0.0,0.01,0.1,master,HCL,0,1
102,terraform-octk-aws-workload-ecr,BCDevOps,BCDevOps/terraform-octk-aws-workload-ecr,https://github.com/BCDevOps/terraform-octk-aws-workload-ecr,,A Terraform module to automate creation and management of Elastic Container Registries within an AWS landing zone/SEA.,0,1,9,False,False,False,False,False,True,True,True,True,True,True,2021-02-18T21:45:25Z,2021-03-18T17:37:42Z,2021-03-18T17:37:53Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,69,0,0,3,0,0.0,0.0,0.04,master,HCL,0,0
103,terraform-octk-aws-sea-rocketchat-notifications,BCDevOps,BCDevOps/terraform-octk-aws-sea-rocketchat-notifications,https://github.com/BCDevOps/terraform-octk-aws-sea-rocketchat-notifications,,,0,1,13,False,False,False,False,False,True,True,True,True,True,True,2021-02-19T22:25:38Z,2021-02-19T22:26:21Z,2021-03-30T19:22:48Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,68,0,1,3,0,0.0,0.01,0.04,master,Python_HCL,0,1
104,terraform-aws-sea-organization-info-extended,BCDevOps,BCDevOps/terraform-aws-sea-organization-info-extended,https://github.com/BCDevOps/terraform-aws-sea-organization-info-extended,,"A Terraform module that produces a 'view' of an SEA-based AWS Organization, along with 'extended' metadata extracted from account-level tags.",0,0,11,False,False,False,False,False,True,True,True,True,True,True,2021-03-15T17:32:04Z,2021-03-26T14:29:34Z,2021-03-26T14:29:32Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,44,0,0,4,0,0.0,0.0,0.09,master,HCL,0,0
105,terraform-octk-aws-sea-billing-reports,BCDevOps,BCDevOps/terraform-octk-aws-sea-billing-reports,https://github.com/BCDevOps/terraform-octk-aws-sea-billing-reports,,,0,0,34,False,False,True,False,False,True,True,True,True,True,True,2021-03-26T14:37:56Z,2021-05-06T22:25:59Z,2021-05-06T22:25:56Z,,,,,,,,,,,,,,,,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,33,0,0,7,0,0.0,0.0,0.21,master,HCL_Python_Makefile_Shell_HTML,0,0
106,openshift-quota-rec,BCDevOps,BCDevOps/openshift-quota-rec,https://github.com/BCDevOps/openshift-quota-rec,,"An exercise for assessing the Province of BC's OpenShift quota, resource, limit and usage patterns by development teams, and making various data models and recommendations for improving resource allocation and capacity planning.",0,0,5707,False,False,True,False,False,True,True,True,True,True,True,2021-03-31T21:34:55Z,2021-05-05T15:21:56Z,2021-05-05T15:21:54Z,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,28,0,4,21,0,0.0,0.14,0.75,main,Python,0,1
107,terraform-octk-aws-sea-client-vpn-setup,BCDevOps,BCDevOps/terraform-octk-aws-sea-client-vpn-setup,https://github.com/BCDevOps/terraform-octk-aws-sea-client-vpn-setup,,,0,0,14,False,False,False,False,False,True,True,True,True,True,True,2021-04-09T19:26:01Z,2021-05-06T23:50:31Z,2021-05-06T23:50:29Z,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,0,0,0,0,0,0,Apache License 2.0,Contributor Covenant,19,0,0,1,0,0.0,0.0,0.05,main,HCL,0,0
