Repository,Ministry Code,Ministry Name
a2a-trust-over-ip-configurations,ag,Attorney General
access-to-technology,sdpr,Social Development & Poverty Reduction
Agile-Delivery-Process,citz,Citizens' Services
agile-guide,,#N/A
agile-labor-categories,,#N/A
agile-sdlc,env,Environment & Climate Change Strategy
AGOL_getMapFromApp,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
AGOL_getSizeFromGroup,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
AGOL_UsageReport,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
AGOL-PullandPushMetadata,,#N/A
agri-dcbr,agri,Agriculture
agri-nmp,agri,Agriculture
agri-nmp-msa,agri,Agriculture
air-monitoring-visualization,,#N/A
air-zone-reports,env,Environment & Climate Change Strategy
angular-scaffold,,#N/A
angular-scaffold-captcha,,#N/A
api-guidelines,citz,Citizens' Services
api-serv-gw,,#N/A
api-specs,,#N/A
aporeto-demo-project,citz,Citizens' Services
aps-portal,,#N/A
aps-testing,,#N/A
aqadvisories-eservice,env,Environment & Climate Change Strategy
aquifer-factsheets,env,Environment & Climate Change Strategy
arcgis_hackers,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
argg-api,citz,Citizens' Services
argg-ui,,#N/A
aries-cloudagent-container,citz,Citizens' Services
aries-cloudcontroller-node,,#N/A
aries-vcr,citz,Citizens' Services
aries-vcr-api-draft,,#N/A
aries-vcr-client,citz,Citizens' Services
aries-vcr-issuer-agency,,#N/A
aries-vcr-issuer-controller,citz,Citizens' Services
asdm-postgres,citz,Citizens' Services
b2b-credential-manager,,#N/A
batch-pdf-reports,citz,Citizens' Services
bc_dtm_testing,env,Environment & Climate Change Strategy
bc-aquifer-dashboard,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bc-data-literacy-self-assessment,,#N/A
BC-demography,citz,Citizens' Services
bc-econ-status-indices,citz,Citizens' Services
bc-fwa-river-profiles,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bc-hydrometric-dashboard,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bc-laws-api,,#N/A
BC-Policy-Framework-For-GitHub,citz,Citizens' Services
bc-population-indicator,env,Environment & Climate Change Strategy
bc-raster-roads,env,Environment & Climate Change Strategy
bc-sans,citz,Citizens' Services
bcca-payment-hub,citz,Citizens' Services
bcdata,env,Environment & Climate Change Strategy
bcdata,citz,Citizens' Services
bcdc-devops,citz,Citizens' Services
bcdc-smk,citz,Citizens' Services
bcdc-test,citz,Citizens' Services
bcdc2bcdc,citz,Citizens' Services
bcdevexchange,citz,Citizens' Services
BCDevExchange-app,,#N/A
bcgov-data-science-cop,citz,Citizens' Services
bcgov-data-science-resources,citz,Citizens' Services
bcgov-looker-snowplow,,#N/A
bcgov-python-presentations,citz,Citizens' Services
bcgov-r-geo-workshop,citz,Citizens' Services
bcgov-r-geo-workshop,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bcgov-r-geo-workshop,env,Environment & Climate Change Strategy
bcgov-rstats-public-presentations,citz,Citizens' Services
bcgov-rstats-public-presentations,env,Environment & Climate Change Strategy
bcgov-rstats-public-presentations,jedc,"Jobs, Economic Development & Competitiveness"
bcgov-Shiny-deployment-paths,jedc,"Jobs, Economic Development & Competitiveness"
bcgov-Shiny-deployment-paths,env,Environment & Climate Change Strategy
bcgov-Shiny-deployment-paths,citz,Citizens' Services
bcgov-sso-theme,,#N/A
bcgov-useR,citz,Citizens' Services
bcgov-useR,env,Environment & Climate Change Strategy
bcgovr,citz,Citizens' Services
bcgovr,env,Environment & Climate Change Strategy
bcgroundwater,env,Environment & Climate Change Strategy
bcmaps,env,Environment & Climate Change Strategy
bcmapsdata,env,Environment & Climate Change Strategy
bcmoh-iam-integration-guide,hlth,Health
BCP-CMS,,#N/A
bcparis-apps-configs,,#N/A
bcparis-service,,#N/A
bcregistry,,#N/A
bcregistry-sre,,#N/A
bcrs-charts,,#N/A
bcrs-shared-components,,#N/A
bcrs-template-ui,,#N/A
bcrs-testing,,#N/A
bcrs-utilities,,#N/A
bcsc-sample-client,,#N/A
BCSC-SS,citz,Citizens' Services
bcsnowdata,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
BCStats,jedc,"Jobs, Economic Development & Competitiveness"
bcstats_ohcs_craigslist,citz,Citizens' Services
bctw-api,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bctw-api,env,Environment & Climate Change Strategy
bctw-db,env,Environment & Climate Change Strategy
bctw-ui,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bctw-ui,env,Environment & Climate Change Strategy
BCWaterDischargeAnalysis,env,Environment & Climate Change Strategy
BCWaterDischargeAnalysis-SampleScripts,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
BCwebcheck,citz,Citizens' Services
bcwebmaps-options,,#N/A
bcws-psu-research,citz,Citizens' Services
bcws-psu-research,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bearmon,,#N/A
BGC3D,,#N/A
Biodiversity_CC,,#N/A
biohubbc,env,Environment & Climate Change Strategy
biohubbc,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
biohubbc-common-codes,env,Environment & Climate Change Strategy
biohubbc-common-codes,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
bootstrap-theme,citz,Citizens' Services
bowron-ssn,,#N/A
bowron-ssn-openstars,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
burn-severity,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
business-create-ui,,#N/A
business-edit-ui,,#N/A
business-filings-ui,,#N/A
business-schemas,,#N/A
CANSIM-dataviewer,jedc,"Jobs, Economic Development & Competitiveness"
CANSIM-retail-trade-shiny,citz,Citizens' Services
canwqdata,env,Environment & Climate Change Strategy
cap-eagle-admin,,#N/A
cap-eagle-api,,#N/A
cap-eagle-dev-guides,,#N/A
cap-eagle-helper-pods,,#N/A
cap-eagle-mobile-inspections,,#N/A
cap-eagle-public,,#N/A
cap-eagle-traffic-runner,,#N/A
cap-information,,#N/A
career-survey,citz,Citizens' Services
Caribou_Disturb_B,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
Caribou_disturb_TT,,#N/A
CaribouBC,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
cas-airflow,,#N/A
cas-airflow-upstream,,#N/A
cas-ciip-portal,env,Environment & Climate Change Strategy
cas-docker-sqitch,,#N/A
cas-ggircs,,#N/A
cas-ggircs-ciip-2018-extract,,#N/A
cas-ggircs-ciip-2018-schema,env,Environment & Climate Change Strategy
cas-ggircs-metabase,,#N/A
cas-ggircs-metabase-build,,#N/A
cas-ggircs-metabase-builder,,#N/A
cas-helm,,#N/A
cas-metabase,env,Environment & Climate Change Strategy
cas-metascript,,#N/A
cas-notebooks,,#N/A
cas-onboarding,,#N/A
cas-payment-interface,pssg,Public Safety and Solicitor General
cas-pipeline,,#N/A
cas-postgres,,#N/A
cas-shelf,,#N/A
cas-shipit,,#N/A
cascade_border_data,citz,Citizens' Services
cass-api,ag,Attorney General
cass-frontend,ag,Attorney General
CC_Biodiversity_Refugia,,#N/A
cccharts,env,Environment & Climate Change Strategy
CCISS_ShinyApp,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
ccsummary-FLP,,#N/A
ccsummary-tahltan,,#N/A
CE_RipDist_AddingFireInsect,,#N/A
census_geography_bc,jedc,"Jobs, Economic Development & Competitiveness"
chart-tool,,#N/A
child-support-lookup-tool,,#N/A
chimp,,#N/A
CHSP_dataviewer,,#N/A
CIT,,#N/A
CITZ-IMB-Capstone2020,citz,Citizens' Services
CITZ-IMB-playbook,citz,Citizens' Services
CITZ-IMB-SharePoint,,#N/A
citz-imb-sp-aar,,#N/A
citz-imb-sp-batchrestapi,,#N/A
citz-imb-sp-breadcrumbs,citz,Citizens' Services
citz-imb-sp-collectionnavigation,,#N/A
citz-imb-sp-gdx-bif,citz,Citizens' Services
citz-imb-sp-peoplepicker,,#N/A
citz-imb-sp-projectIntakeForm,,#N/A
citz-imb-sp-restapi,,#N/A
citz-imb-sp-utilities,citz,Citizens' Services
citz-imb-sp-vdr,citz,Citizens' Services
ckan,,#N/A
ckan-bcgov-terraform,,#N/A
ckan-ui,citz,Citizens' Services
ckanext-bcgov,citz,Citizens' Services
ckanext-bcgov-cli,citz,Citizens' Services
ckanext-bcgov-disqus,,#N/A
ckanext-bcgov-schema,citz,Citizens' Services
ckanext-edc-rss,citz,Citizens' Services
ckanext-ga-report,,#N/A
ckanext-galileo,,#N/A
ckanext-geoview,,#N/A
ckanext-googleanalytics,citz,Citizens' Services
ckanext-hierarchy,citz,Citizens' Services
ckanext-openapiviewer,citz,Citizens' Services
ckanext-sso,citz,Citizens' Services
clamav,,#N/A
climate-change-indicators-2015,env,Environment & Climate Change Strategy
climate-disturbances,citz,Citizens' Services
ClimateApp_FLP,,#N/A
cloud-adoption-patterns,,#N/A
cloud-adoption-patterns-II,,#N/A
cloud-custodian-policies,,#N/A
cloud-guardrails,,#N/A
cloud-iac,,#N/A
cloud-pathfinder,,#N/A
cloud-pathfinder-business-process,,#N/A
clus,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
cmip6-BC,,#N/A
cmip6-BC-eval,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
common-components-catalogue,citz,Citizens' Services
common-components-wiki,citz,Citizens' Services
common-document-generation-service,env,Environment & Climate Change Strategy
common-forms-toolkit,env,Environment & Climate Change Strategy
common-hosted-email-service,env,Environment & Climate Change Strategy
common-hosted-form-service,env,Environment & Climate Change Strategy
common-lib-vue,,#N/A
common-logging,env,Environment & Climate Change Strategy
common-nodejs-utils,citz,Citizens' Services
common-service-showcase,env,Environment & Climate Change Strategy
common-services-team-library,env,Environment & Climate Change Strategy
common-ui-components,,#N/A
common-web-utils,,#N/A
community-air-quality-reports,env,Environment & Climate Change Strategy
containerization-and-cloud-economic-model,,#N/A
court-interpreter-scheduling,,#N/A
court-of-appeal,ag,Attorney General
covid19,,#N/A
cpf,,#N/A
crt,tran,Transportation & Infrastructure
CSB-eFile,,#N/A
csnr-dmod,env,Environment & Climate Change Strategy
css-job-scheduling,,#N/A
csv-to-api,,#N/A
data-driven-decision-making,,#N/A
data-fp,citz,Citizens' Services
data-fp-features,citz,Citizens' Services
data-publication,,#N/A
data-stream,,#N/A
databc-web-map-services,,#N/A
datapusher,,#N/A
DBC-APIM,citz,Citizens' Services
dbc-cms-vis,citz,Citizens' Services
dbc-j2ee-template,,#N/A
dbc-kml-apps,citz,Citizens' Services
dbc-pylib,citz,Citizens' Services
dbcrss,citz,Citizens' Services
dbutils,,#N/A
ddm-documents,citz,Citizens' Services
design-research-guide,citz,Citizens' Services
design-system,citz,Citizens' Services
design-system-temporary,,#N/A
design-system-web-components,,#N/A
designatedlands,env,Environment & Climate Change Strategy
DevEx-Roadmap,,#N/A
devhub-app-web,citz,Citizens' Services
devhub-resources,,#N/A
devhub-signing-agent,citz,Citizens' Services
devhub-signing-api,citz,Citizens' Services
devhub-signing-web,citz,Citizens' Services
devops-credential-issuer,citz,Citizens' Services
did-auth-extension,citz,Citizens' Services
did-auth-relying-party,citz,Citizens' Services
digital_marketplace,citz,Citizens' Services
digital_talent,,#N/A
digital-gov,,#N/A
digital-lakes,,#N/A
digital-marketplace,,#N/A
digital-policy,,#N/A
digital-principles,,#N/A
Digital-Support-Team-Guidelines,,#N/A
digital-toolkit,,#N/A
digital.gov.bc.ca,citz,Citizens' Services
dip-metadata-viewer,citz,Citizens' Services
dipr,citz,Citizens' Services
diputils,citz,Citizens' Services
Distributed-Leader-ToolKit,,#N/A
docker-clamav,,#N/A
docugate,,#N/A
document-generation-showcase,env,Environment & Climate Change Strategy
dormant-site-reclamation-program,,#N/A
dpdd-snippets,citz,Citizens' Services
drake-example,citz,Citizens' Services
drat,env,Environment & Climate Change Strategy
drivebc-webcam-api,,#N/A
ds-cop-intro-to-r,citz,Citizens' Services
ds-intro-to-r-2-day,citz,Citizens' Services
dts-esr-demo,,#N/A
dts-safe-entry-demo,citz,Citizens' Services
dts-vc-issuer-service,hlth,Health
dts-vc-issuer-service,citz,Citizens' Services
eagle-admin,eao,Environmental Assessment Office
eagle-api,eao,Environmental Assessment Office
eagle-common-components,,#N/A
eagle-dev-guides,eao,Environmental Assessment Office
eagle-helper-pods,,#N/A
eagle-minio-openshift,,#N/A
eagle-mobile-inspections,eao,Environmental Assessment Office
eagle-public,eao,Environmental Assessment Office
eagle-reports,eao,Environmental Assessment Office
eao-geo-service,,#N/A
eao-inspections-evidence-locker,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
eao-inspections-evidence-locker,citz,Citizens' Services
eao-inspections-evidence-locker,empr,"Energy, Mines & Petroleum Resources"
eao-inspections-web,,#N/A
eao-nginx,,#N/A
eao-parse-server,,#N/A
eao-public,,#N/A
eao-public-consultation,,#N/A
eba-guide,,#N/A
eco-info,,#N/A
economic_recovery_indicators,citz,Citizens' Services
eDivorce,ag,Attorney General
EDUC-CAPS,educ,Education
EDUC-COURSE-ACHIEVE-API,,#N/A
EDUC-COURSE-ACHIEVEMENT-API,educ,Education
EDUC-COURSE-ACHIEVEMENT-UI,,#N/A
EDUC-COURSE-API,educ,Education
EDUC-CURRI,educ,Education
EDUC-curricdrpl,educ,Education
EDUC-CURRICWS,educ,Education
EDUC-DIGITALID-API,educ,Education
EDUC-DOCUMENT-API,,#N/A
EDUC-ECAS,,#N/A
EDUC-EDNET,educ,Education
EDUC-forms,educ,Education
EDUC-FSA-ILR,educ,Education
EDUC-GRAD-ADMIN,educ,Education
EDUC-GRAD-ALGORITHM-API,educ,Education
EDUC-GRAD-ASSESSMENT-API,educ,Education
EDUC-GRAD-BATCH-GRADUATION-API,educ,Education
EDUC-GRAD-CODE-API,educ,Education
EDUC-GRAD-COMMON-API,educ,Education
EDUC-GRAD-COURSE-API,educ,Education
EDUC-GRAD-GRADUATION-API,educ,Education
EDUC-GRAD-GRADUATION-STATUS-API,educ,Education
EDUC-GRAD-PROGRAM-MANAGEMENT-API,educ,Education
EDUC-GRAD-PSI-API,educ,Education
EDUC-GRAD-SANDBOX-REPO,educ,Education
EDUC-GRAD-SCHOOL-API,educ,Education
EDUC-GRAD-STUDENT-API,educ,Education
EDUC-GRADUATION-CLIENT,educ,Education
EDUC-GRADUATION-STATUS-API,educ,Education
EDUC-HUB,educ,Education
EDUC-INFRA-COMMON,,#N/A
EDUC-ISFS,educ,Education
EDUC-KEYCLOAK-SOAM,,#N/A
EDUC-LOAD-TEST,,#N/A
EDUC-MSDYN-COMMON,educ,Education
EDUC-NGN,educ,Education
EDUC-PASS,,#N/A
EDUC-PEN-API-GATEWAY,,#N/A
EDUC-PEN-DEMOG-API,,#N/A
EDUC-PEN-DEMOG-MIGRATION-API,educ,Education
EDUC-PEN-MATCH-API,,#N/A
EDUC-PEN-REG-AUTOMATION,,#N/A
EDUC-PEN-REG-BATCH-API,educ,Education
EDUC-PEN-REPLICATION-API,educ,Education
EDUC-PEN-REPORT-GENERATION-API,educ,Education
EDUC-PEN-REQUEST-API,educ,Education
EDUC-PEN-SERVICES-API,educ,Education
EDUC-PEN-TRAX-API,,#N/A
EDUC-PROGRAM-RULE-API,educ,Education
EDUC-PROMETHEUS-GRAFANA,,#N/A
EDUC-REPORT-API,educ,Education
EDUC-RULE-ENGINE-API,educ,Education
EDUC-SCHOOL-API,,#N/A
EDUC-SERVICES-CARD-API,educ,Education
EDUC-SERVICES-CARD-SAGA-API,educ,Education
EDUC-SLD-API,,#N/A
EDUC-SOAM-API,,#N/A
EDUC-STUDENT-ADMIN,educ,Education
EDUC-STUDENT-API,educ,Education
EDUC-STUDENT-ASSESSMENT-API,educ,Education
EDUC-STUDENT-COURSE_API,educ,Education
EDUC-STUDENT-EXAM-API,educ,Education
EDUC-STUDENT-PROFILE,,#N/A
EDUC-STUDENT-PROFILE-API,,#N/A
EDUC-STUDENT-PROFILE-EMAIL-API,educ,Education
EDUC-STUDENT-PROFILE-SAGA-API,,#N/A
EDUC-STUDENTSUCCESS,educ,Education
EDUC-TRAX-NOTIFICATION-API,educ,Education
EDUC-UMU,,#N/A
eForWasteBC,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
elmsd-workbc-comms,,#N/A
elucidate,sdpr,Social Development & Poverty Reduction
embc-eaf,ag,Attorney General
embc-ess,,#N/A
embc-ess-mod,embc,Emergency Management BC
enhanced-travel-screening,,#N/A
ensemble-app-CMIP5,,#N/A
entity,,#N/A
entity-selection-tool,,#N/A
env-moosetracker-android,,#N/A
env-moosetracker-ios,,#N/A
envair,env,Environment & Climate Change Strategy
EnvReportBC,env,Environment & Climate Change Strategy
envreportbc-snippets,env,Environment & Climate Change Strategy
envreportutils,env,Environment & Climate Change Strategy
epi.branch.sim,hlth,Health
epic-mobile-app-android,,#N/A
epr,,#N/A
esm-admin,,#N/A
esm-server,,#N/A
essential-services-delivery,citz,Citizens' Services
ets-cpf-ea-onboarding,,#N/A
ExchangeLabOps,citz,Citizens' Services
ExitSurveyAdmin,,#N/A
fabric.js,,#N/A
FADM_Edit_Workflows,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
FAIB,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
FAIBBase,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
FAIBCompiler,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
FAIBOracle,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
family-law-act-app,ag,Attorney General
Family-Protection-Order,ag,Attorney General
fams3,ag,Attorney General
fasstr,env,Environment & Climate Change Strategy
FASSTX,env,Environment & Climate Change Strategy
FGDB-Standards-Tools,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
field-inspection-app-android,,#N/A
field-inspection-app-ios,,#N/A
figma,citz,Citizens' Services
flatfile-tools,citz,Citizens' Services
FNDFAS,,#N/A
foi-report-download,citz,Citizens' Services
foi-requests,,#N/A
forageConversionTool,,#N/A
Foreign-Farm-Workers-Permitting-System,,#N/A
forest-management-indicators,env,Environment & Climate Change Strategy
forestDroughtTool,,#N/A
Forester-Job-Placement,,#N/A
forestry-quarterly-report,,#N/A
forms-flow-ai,,#N/A
forum-api,citz,Citizens' Services
fwben,,#N/A
gatsby-source-github-raw,,#N/A
gatsby-source-matomo,,#N/A
GB_Data,,#N/A
GB_DNA,,#N/A
GB_Mortality,,#N/A
GB_Salmon,,#N/A
GB_Unreported,,#N/A
gcpe-azure-sample,,#N/A
gcpe-hub,,#N/A
gcpe-hub-api,,#N/A
gcpe-news-api-client,,#N/A
gcpe-news-archive,,#N/A
gcpe-news-dashboard,,#N/A
gcpe-news-media-proxy,,#N/A
gcpe-news-webapp,,#N/A
gcpe-NRMS-api,,#N/A
gcpe-NRMS-frontend,,#N/A
GCS,citz,Citizens' Services
GCS_update,citz,Citizens' Services
GDX-Analytics,citz,Citizens' Services
GDX-Analytics-Drupal-Snowplow,citz,Citizens' Services
GDX-Analytics-Looker-cfms_block,,#N/A
GDX-Analytics-Looker-CleanBC,citz,Citizens' Services
GDX-Analytics-Looker-CMSLite-Metadata,citz,Citizens' Services
GDX-Analytics-Looker-DES-Reporting,citz,Citizens' Services
GDX-Analytics-Looker-FOI,citz,Citizens' Services
GDX-Analytics-Looker-Google-Block,citz,Citizens' Services
GDX-Analytics-Looker-Google-MyBusiness,citz,Citizens' Services
GDX-Analytics-Looker-Google-MyBusiness-ServiceBC,citz,Citizens' Services
GDX-Analytics-Looker-Maintenance,citz,Citizens' Services
GDX-Analytics-Looker-Redshift_Admin_By_AWS,citz,Citizens' Services
GDX-Analytics-Looker-SBC-Call-Centre,citz,Citizens' Services
GDX-Analytics-Looker-Snowplow-Web-Block,citz,Citizens' Services
GDX-Analytics-Looker-theq_sdpr_block,citz,Citizens' Services
GDX-Analytics-microservice,citz,Citizens' Services
GDX-Analytics-OpenShift-Snowplow-Gateway-Service,citz,Citizens' Services
gdx-covid-19-dashboard,,#N/A
geodock,,#N/A
geometr,citz,Citizens' Services
geoserver_build,,#N/A
getting_started_with_R,citz,Citizens' Services
ghg-emissions-indicator,env,Environment & Climate Change Strategy
gis-pantry,flnr,"Forests, Lands, Natural Resource Operations & Rural Development"
git-sae-ops,,#N/A
