Repository,IssueTotalCount,PrTotalCount,CommitTotalCount,DaysOpen,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName
wqbc,104,56,778,2319,0.04,0.02,0.34,master
BC-Policy-Framework-For-GitHub,20,43,186,2246,0.01,0.02,0.08,master
bcgroundwater,19,14,256,2231,0.01,0.01,0.11,master
groundwater-levels-indicator,12,5,218,2231,0.01,0,0.1,master
ckanext-googleanalytics,0,6,105,2200,0,0,0.05,master
ckanext-hierarchy,0,6,36,2200,0,0,0.02,master
ckanext-ga-report,0,13,262,2200,0,0.01,0.12,master
EnvReportBC,3,3,87,2189,0,0,0.04,master
envreportutils,12,18,247,2189,0.01,0.01,0.11,master
CSB-eFile,0,1,7,2183,0,0,0,master
ckanext-bcgov,462,405,1429,2168,0.21,0.19,0.66,dev
bcmaps,51,45,720,2150,0.02,0.02,0.33,master
dbcrss,5,23,192975,2142,0,0.01,90.08,master
bc-laws-api,4,11,31,2092,0,0.01,0.01,master
rcaaqs,42,12,719,2072,0.02,0.01,0.35,master
ozone-caaqs-indicator,6,10,273,2072,0,0,0.13,master
pm25-caaqs-indicator,6,9,221,2072,0,0,0.11,master
esm-server,1,527,5061,1989,0,0.26,2.54,dev
datapusher,0,1,236,1981,0,0,0.12,master
ltema,2,1,6,1981,0,0,0,master
bearmon,2,2,9,1981,0,0,0,master
openconsult,7,4,27,1954,0,0,0.01,master
protected-lands-and-waters-indicator,4,5,187,1932,0,0,0.1,main
BCDevExchange-app,0,0,1042,1931,0,0,0.54,master
bc-population-indicator,3,4,183,1905,0,0,0.1,master
data-fp,12,56,220,1882,0.01,0.03,0.12,dev
nrs-sparx-automation,2,2,5,1878,0,0,0,master
playbook,0,4,259,1877,0,0,0.14,BCDev
govHackServiceCatalogue,0,2,3,1875,0,0,0,bcv1
guides,0,1,64,1874,0,0,0.03,bcv1
pages,0,2,140,1871,0,0,0.07,18f-pages
guides-template,0,2,271,1870,0,0,0.14,18f-pages
DBC-APIM,106,1,450,1870,0.06,0,0.24,master
cpf,67,33,513,1868,0.04,0.02,0.27,master
drivebc-webcam-api,2,1,3,1863,0,0,0,master
databc-web-map-services,4,2,6,1861,0,0,0,master
agile-guide,2,3,268,1857,0,0,0.14,18f-pages
digital-toolkit,16,56,424,1856,0.01,0.03,0.23,master
eba-guide,3,5,362,1855,0,0,0.2,18f-pages
bcdc-devops,3,5,19,1848,0,0,0.01,master
data-fp-features,5,22,79,1847,0,0.01,0.04,master
issue-aggregator,3,6,13,1847,0,0,0.01,master
api-specs,335,57,533,1821,0.18,0.03,0.29,master
DevEx-Roadmap,9,10,400,1799,0.01,0.01,0.22,18f-pages
interactive-infographic,8,11,82,1790,0,0.01,0.05,master
service-patterns,4,4,3,1787,0,0,0,master
piwik,0,2,23086,1777,0,0,12.99,master
Gov-2.0-Bootstrap-Skeleton,12,11,37,1748,0.01,0.01,0.02,master
ckan,0,19,15969,1737,0,0.01,9.19,2.5.5-bcgov
PMO-Database,2,1,1,1736,0,0,0,master
rems,45,18,333,1734,0.03,0.01,0.19,master
ckanext-geoview,0,2,115,1721,0,0,0.07,0.0.12-bcgov
agile-labor-categories,0,2,15,1721,0,0,0.01,gh-pages
FGDB-Standards-Tools,4,2,14,1707,0,0,0.01,master
ghg-emissions-indicator,3,6,147,1706,0,0,0.09,master
ols-devkit,136,58,130,1706,0.08,0.03,0.08,master
MyGovBC-core-server,0,1,51,1696,0,0,0.03,master
MyGovBC-core-client,0,1,291,1696,0,0,0.17,master
MyGovBC-core-headerFooterService,2,5,181,1696,0,0,0.11,master
MyGovBC-notification-server,42,44,725,1696,0.02,0.03,0.43,master
MyGovBC-widget-sharedservices-foodsafe,2,1,24,1696,0,0,0.01,master
MyGovBC-widget-info-template,2,1,10,1696,0,0,0.01,master
BCStats,5,4,22,1692,0,0,0.01,main
WES-engagement-states,25,3,131,1692,0.01,0,0.08,master
simple-R-shiny,16,5,136,1688,0.01,0,0.08,master
land-designations-indicator,4,2,203,1686,0,0,0.12,master
land-designations-shinyapp,26,11,280,1686,0.02,0.01,0.17,master
envreportbc-snippets,2,5,142,1682,0,0,0.08,master
climate-change-indicators-2015,3,2,42,1678,0,0,0.03,master
tire-recycling-indicator,4,2,25,1674,0,0,0.01,master
invasive-species-indicator,2,2,44,1672,0,0,0.03,master
update-VRI-volumes,4,2,10,1672,0,0,0.01,master
cccharts,41,8,398,1671,0.02,0,0.24,master
mygovbc,3,2,65,1668,0,0,0.04,master
WES-demographic-profile,4,1,7,1664,0,0,0,master
eDivorce,0,196,1861,1658,0,0.12,1.12,master
designatedlands,63,11,275,1657,0.04,0.01,0.17,master
mygovbc-nginx,2,1,46,1652,0,0,0.03,master
mygovbc-foodsafe-nginx,2,1,16,1652,0,0,0.01,master
water-quality-analysis,24,4,75,1645,0.01,0,0.05,master
SecurityAwareness,2,4,186,1645,0,0,0.11,master
MyGovBC-MSP,0,656,4592,1637,0,0.4,2.8,master
smtp-om-core,2,21,11,1636,0,0.01,0.01,master
schoolbus-orig,1,1,10,1630,0,0,0.01,master
schoolbus,5,597,1547,1630,0,0.37,0.95,master
burn-severity,5,2,9,1625,0,0,0.01,master
housing-data-visualization-project,7,1,83,1619,0,0,0.05,master
ckanext-openapiviewer,12,34,83,1618,0.01,0.02,0.05,master
BC-demography,6,1,32,1610,0,0,0.02,master
smtp-om-cas-common,4,38,3,1605,0,0.02,0,master
HelloSimon_Web,0,2,2,1604,0,0,0,master
slack-dev-bot-BCGov,2,1,9,1601,0,0,0.01,master
Mock-Server,2,7,8,1597,0,0,0.01,master
Swagger-Editor,3,6,11,1597,0,0,0.01,master
SchemaSpy,3,11,54,1597,0,0.01,0.03,master
streamflow-trends-on-multi-stats,0,2,12,1590,0,0,0.01,master
Swagger-Codegen-Extension,3,30,62,1587,0,0.02,0.04,master
career-survey,2,1,10,1568,0,0,0.01,master
mygovbc-foodsafe,2,1,29,1568,0,0,0.02,master
hets,3,1949,4456,1567,0,1.24,2.84,master
MyGovBC-MSP-Service,2,5,129,1560,0,0,0.08,master
gwa,58,2,108,1560,0.04,0,0.07,master
jxon,0,1,88,1556,0,0,0.06,master
batch-pdf-reports,3,2,12,1555,0,0,0.01,master
R-presentation,3,3,20,1548,0,0,0.01,master
tfrs,728,1016,2486,1547,0.47,0.66,1.61,release-1.6.24
fabric.js,0,1,3541,1547,0,0,2.29,master
MyGovBC-CAPTCHA-Service,5,11,133,1546,0,0.01,0.09,master
MyGovBC-CAPTCHA-Widget,5,12,98,1546,0,0.01,0.06,master
BCWaterDischargeAnalysis,3,6,105,1542,0,0,0.07,master
housing-data-challenge-ruby,8,7,175,1535,0.01,0,0.11,master
ligo-lib,15,17,218,1535,0.01,0.01,0.14,master
kapua,0,23,757,1533,0,0.02,0.49,develop
kura,0,2,3002,1531,0,0,1.96,develop
housing-data-challenge-exponentian,3,17,82,1527,0,0.01,0.05,master
housing-data-challenge-plot-scatter,3,5,18,1527,0,0,0.01,master
housing-data-challenge-plotly,4,3,54,1527,0,0,0.04,master
housing-data-challenge-foundry-spatial,4,5,115,1527,0,0,0.08,master
BCWaterDischargeAnalysis-SampleScripts,2,1,12,1518,0,0,0.01,master
Oahu-UI,0,2,287,1514,0,0,0.19,master
gwells,11,1777,8482,1513,0.01,1.17,5.6,release
oahu-api,0,3,8,1511,0,0,0.01,master
oahu-dbsrv,0,2,8,1511,0,0,0.01,master
kura-emulator,0,4,9,1510,0,0,0.01,master
chart-tool,0,1,391,1509,0,0,0.26,master
legacy-eao-inspections-ios,2,2,67,1506,0,0,0.04,master
epic-mobile-app-android,2,1,2,1506,0,0,0,master
moti-iot-challenges,3,2,21,1505,0,0,0.01,master
LTEM-sample-analyses,2,2,15,1501,0,0,0.01,master
moti-iot-poc,0,1,10,1500,0,0,0.01,master
sonarqube-openshift-docker,0,2,5,1497,0,0,0,master
navUnit,0,0,3,1480,0,0,0,master
tfrs-sonar-scanner,3,2,10,1479,0,0,0.01,master
dbc-kml-apps,11,22,184,1477,0.01,0.01,0.12,master
dbc-cms-vis,3,18,90,1472,0,0.01,0.06,gh-pages
tfrs-functional-test-runner,3,2,6,1471,0,0,0,master
SSD-methods,2,1,9,1464,0,0,0.01,master
csnr-dmod,2,104,223,1451,0,0.07,0.15,master
nrs-cmdb,21,33,72,1441,0.01,0.02,0.05,master
sbc-qsystem,17,331,875,1436,0.01,0.23,0.61,master
openshift-openjfx,0,1,54,1434,0,0,0.04,master
agile-sdlc,2,4,17,1426,0,0,0.01,master
eao-nginx,2,22,76,1421,0,0.02,0.05,master
mygovbc-bootstrap-theme,5,2,35,1420,0,0,0.02,master
angular-scaffold,12,20,165,1420,0.01,0.01,0.12,master
eao-parse-server,2,18,37,1419,0,0.01,0.03,master
eao-public,1,320,555,1416,0,0.23,0.39,dev
eao-public-consultation,2,1,3,1416,0,0,0,master
dbc-j2ee-template,2,1,13,1412,0,0,0.01,master
gw-licensing-transition-summary,3,9,262,1406,0,0.01,0.19,master
service-patterns-temp,3,1,11,1401,0,0,0.01,master
ligo,3,5,176,1400,0,0,0.13,master
FASSTX,3,2,48,1398,0,0,0.03,master
shinyhydat,5,10,87,1398,0,0.01,0.06,master
mem-admin,3,317,4520,1393,0,0.23,3.24,dev
mem-mmti,2,49,4223,1393,0,0.04,3.03,master
eao-geo-service,2,4,17,1392,0,0,0.01,master
mem-geo-service,2,4,30,1386,0,0,0.02,master
mem-nginx,2,9,50,1385,0,0.01,0.04,master
mem-mmti-public,4,348,741,1384,0,0.25,0.54,BCMI-V2
nifi-atlas,4,22,38,1384,0,0.02,0.03,master
namer,2,13,62,1380,0,0.01,0.04,master
bcgovr,38,24,605,1372,0.03,0.02,0.44,master
angular-scaffold-captcha,3,2,19,1370,0,0,0.01,master
agri-nmp,4,555,2800,1370,0,0.41,2.04,master
sm-bridge-service,2,3,38,1367,0,0,0.03,master
von,251,120,330,1364,0.18,0.09,0.24,master
bc-raster-roads,3,5,107,1357,0,0,0.08,master
IM-Report-GBears,2,1,30,1357,0,0,0.02,master
CANSIM-dataviewer,4,1,154,1356,0,0,0.11,master
prime-web,2,29,1643,1342,0,0.02,1.22,master
MyGovBC-ServiceProviderTools,2,1,32,1337,0,0,0.02,master
water-quality-analysis-northeastbc,3,3,59,1329,0,0,0.04,master
hydrolook,14,10,147,1322,0.01,0.01,0.11,master
TheOrgBook,314,576,2578,1310,0.24,0.44,1.97,master
openshift-postgresql-oracle_fdw,2,9,119,1309,0,0.01,0.09,master
NatureServe-GBPU-Ranking,2,1,6,1308,0,0,0,master
ocp-sso,261,59,165,1307,0.2,0.05,0.13,master
s2i-ruby-nodejs,2,1,18,1303,0,0,0.01,master
jekyll-barebones,2,9,20,1303,0,0.01,0.02,master
ckanext-galileo,0,1,6,1303,0,0,0,master
WES-NLP-tool,6,1,7,1301,0,0,0.01,master
HectaresBC,13,1,1,1300,0.01,0,0,master
bootstrap-theme,9,13,156,1293,0.01,0.01,0.12,master
quickstart,0,10,1754,1293,0,0.01,1.36,11.x
roadless-areas-indicator,6,4,195,1292,0,0,0.15,master
child-support-lookup-tool,2,5,8,1289,0,0,0.01,master
bcmapsdata,12,10,155,1280,0.01,0.01,0.12,master
drat,6,5,62,1279,0,0,0.05,gh-pages
fasstr,53,26,724,1269,0.04,0.02,0.57,master
openshift-solr,0,8,34,1266,0,0.01,0.03,master
von-connector,1,4,14,1266,0,0,0.01,master
von-network,46,94,425,1261,0.04,0.07,0.34,master
s2i-nginx,0,1,93,1261,0,0,0.07,master
getting_started_with_R,5,1,31,1259,0,0,0.02,master
WES-results-visualization,5,1,10,1251,0,0,0.01,master
nrts-prc-public,3,426,947,1246,0,0.34,0.76,master
forest-management-indicators,2,3,75,1245,0,0,0.06,master
gcpe-news-api-client,2,62,214,1240,0,0.05,0.17,master
ssdtools,112,68,698,1240,0.09,0.05,0.56,master
bcgov-data-science-resources,6,3,11,1238,0,0,0.01,master
Family-Protection-Order,2,82,537,1237,0,0.07,0.43,master
greenlight,76,187,835,1234,0.06,0.15,0.68,master
esm-admin,2,14,4616,1233,0,0.01,3.74,master
secure-image-android,4,5,209,1227,0,0,0.17,master
secure-image-ios,1,33,183,1227,0,0.03,0.15,master
jag-shuber-frontend,1,227,1895,1226,0,0.19,1.55,master
jag-shuber-api,0,123,919,1226,0,0.1,0.75,master
secure-image-api,1,17,285,1225,0,0.01,0.23,master
nrts-prc-api,3,248,453,1224,0,0.2,0.37,master
air-monitoring-visualization,4,1,27,1220,0,0,0.02,master
gcpe-news-media-proxy,2,49,110,1220,0,0.04,0.09,develop
nrts-prc-admin,3,396,918,1219,0,0.32,0.75,master
splunk-forwarder,2,1,113,1219,0,0,0.09,master
mobile-authentication-ios,6,6,19,1203,0,0,0.02,master
mobile-authentication-android,2,1,25,1203,0,0,0.02,master
mobile-authentication-js,2,1,1,1203,0,0,0,master
bc-aquifer-dashboard,30,4,178,1203,0.02,0,0.15,master
smk-legacy-ui,211,96,782,1197,0.18,0.08,0.65,master
smk-datastore,0,1,4,1192,0,0,0,master
gcpe-news-webapp,2,548,888,1191,0,0.46,0.75,develop
name-examination,891,382,900,1189,0.75,0.32,0.76,master
canwqdata,2,2,78,1184,0,0,0.07,master
shinyssdtools,56,30,332,1170,0.05,0.03,0.28,master
range-ios,19,147,595,1167,0.02,0.13,0.51,master
range-web,501,436,2635,1167,0.43,0.37,2.26,dev
indy-sdk,0,14,7495,1160,0,0.01,6.46,master
wqindex,6,3,638,1154,0.01,0,0.55,master
GDX-Analytics,2,332,1570,1150,0,0.29,1.36,master
http-did-auth-proxy,2,5,11,1148,0,0,0.01,master
jag-efiling-hub,2,25,166,1147,0,0.02,0.14,master
jag-efiling-frontend,2,209,887,1147,0,0.18,0.77,master
jag-efiling-api,2,50,304,1147,0,0.04,0.26,master
jag-lcrb-carla-public,3,3129,16809,1143,0,2.74,14.7,develop
gcpe-news-archive,2,12,20,1142,0,0.01,0.02,develop
did-auth-relying-party,3,4,19,1136,0,0,0.02,master
did-auth-extension,3,2,12,1135,0,0,0.01,master
eao-inspections-web,4,78,460,1129,0,0.07,0.41,master
GDX-Analytics-Looker-Snowplow-Web-Block,2,234,776,1119,0,0.21,0.69,master
grizzly-bear-IUCN-threats,2,2,31,1114,0,0,0.03,master
clus,33,119,2041,1105,0.03,0.11,1.85,master
clamav,3,7,21,1100,0,0.01,0.02,master
workforce-profile-tool,129,26,501,1097,0.12,0.02,0.46,master
mds,8,1707,2280,1092,0.01,1.56,2.09,develop
student-outcomes-dataviz,4,2,8,1091,0,0,0.01,master
msw-disposal-indicator,16,4,127,1090,0.01,0,0.12,master
namex-solr,2,4,21,1083,0,0,0.02,master
bc-hydrometric-dashboard,8,6,16,1080,0.01,0.01,0.01,master
Skeena-CE-Grizzly,2,1,10,1077,0,0,0.01,master
namex,23,1036,2237,1073,0.02,0.97,2.08,master
queue-management,9,561,2391,1073,0.01,0.52,2.23,master
GDX-Analytics-Looker-cfms_block,2,159,408,1072,0,0.15,0.38,master
moh-fpcare,0,79,533,1072,0,0.07,0.5,master
intro-to-tidyhydat-and-tidyverse,6,2,111,1072,0.01,0,0.1,master
field-inspection-app-ios,10,31,163,1069,0.01,0.03,0.15,master
field-inspection-app-android,2,2,2,1069,0,0,0,master
prime-session,2,3,33,1065,0,0,0.03,master
nbcclim,4,4,110,1065,0,0,0.1,master
gwa-ip-anonymity,6,10,39,1058,0.01,0.01,0.04,master
gwa-ui,5,33,275,1057,0,0.03,0.26,master
gwa-kong-endpoint,5,8,45,1057,0,0.01,0.04,master
dbc-pylib,2,34,106,1056,0,0.03,0.1,master
argg-api,9,13,41,1056,0.01,0.01,0.04,master
argg-ui,14,22,79,1056,0.01,0.02,0.07,master
ols-router,268,45,312,1055,0.25,0.04,0.3,dev
mwslds,2,38,250,1051,0,0.04,0.24,master
GDX-Analytics-Looker-Redshift_Admin_By_AWS,2,6,25,1051,0,0.01,0.02,master
devhub-signing-agent,7,40,224,1049,0.01,0.04,0.21,master
devhub-signing-api,3,35,352,1049,0,0.03,0.34,master
devhub-signing-web,9,56,247,1049,0.01,0.05,0.24,master
prime-oauth,2,1,8,1045,0,0,0.01,master
sp2s3,3,5,31,1035,0,0,0.03,master
kirk,3,51,209,1030,0,0.05,0.2,master
von-bc-registries-agent,75,207,883,1026,0.07,0.2,0.86,master
geometr,7,5,40,1023,0.01,0,0.04,master
SecNewsFeedReader,1,2,4,1022,0,0,0,master
env-moosetracker-android,2,4,17,1022,0,0,0.02,master
env-moosetracker-ios,5,5,29,1022,0,0,0.03,master
servicebc,2,2,1,1021,0,0,0,master
common-nodejs-utils,10,18,79,1020,0.01,0.02,0.08,master
gcpe-azure-sample,2,3,74,1020,0,0,0.07,master
representation-grant,2,39,368,1003,0,0.04,0.37,master
pssg-cscp-vsd,2,239,1010,1003,0,0.24,1.01,development
BCwebcheck,1,1,3,999,0,0,0,master
SecNewsFeedReader-Drupal,2,7,79,999,0,0.01,0.08,master
moh-oauth,2,1,1,996,0,0,0,master
smk,62,39,868,988,0.06,0.04,0.88,master
snow-dur-analysis,3,2,96,987,0,0,0.1,master
bcgov-sso-theme,1,5,13,982,0,0.01,0.01,master
smk-bcparks,6,7,39,981,0.01,0.01,0.04,qa
smk-moh,2,78,179,980,0,0.08,0.18,qa
RasterLandCover,2,1,2,978,0,0,0,master
gcpe-NRMS-frontend,2,36,37,978,0,0.04,0.04,develop
gcpe-NRMS-api,2,11,22,978,0,0.01,0.02,develop
jag-scheduling-hub,2,21,53,968,0,0.02,0.05,master
kq-ui,25,20,78,966,0.03,0.02,0.08,master
kq-api,2,11,54,966,0,0.01,0.06,master
sbc-mcap,2,2,267,959,0,0,0.28,master
scj-online-booking-system,3,1,3,954,0,0,0,master
ldf_drf_db_comments,2,4,15,953,0,0,0.02,master
range-api,65,196,1710,951,0.07,0.21,1.8,dev
devhub-app-web,683,887,2599,951,0.72,0.93,2.73,master
OCWA,146,173,1859,950,0.15,0.18,1.96,master
common-ui-components,1,4,14,943,0,0,0.01,master
repomountie,54,77,539,932,0.06,0.08,0.58,master
common-web-utils,19,34,73,932,0.02,0.04,0.08,master
spa-env-server,2,6,40,925,0,0.01,0.04,master
design-system,156,110,1150,924,0.17,0.12,1.24,master
bcgov-useR,4,8,42,923,0,0.01,0.05,master
bowron-ssn,2,2,25,918,0,0,0.03,master
scheduler,0,1,78,916,0,0,0.09,master
jag-pill-press-registry,2,292,750,915,0,0.32,0.82,master
gcpe-news-dashboard,2,397,424,911,0,0.44,0.47,develop
VON-ESB-DRS-Agent,6,23,69,905,0.01,0.03,0.08,master
smk-common-iac,2,2,15,901,0,0,0.02,master
aquifer-factsheets,3,2,99,897,0,0,0.11,master
von-agent-template,9,55,207,894,0.01,0.06,0.23,master
bcgov-rstats-public-presentations,4,10,114,892,0,0.01,0.13,master
ckanext-bcgov-disqus,0,2,4,889,0,0,0,dev
ckanext-bcgov-cli,2,3,6,889,0,0,0.01,dev
HunterDensity,2,1,16,888,0,0,0.02,master
HumanLivestockDensity,2,1,7,887,0,0,0.01,master
gcpe-hub-api,2,185,266,887,0,0.21,0.3,develop
entity,7141,128,1328,887,8.05,0.14,1.5,master
WEStblr,3,1,24,882,0,0,0.03,master
replication_health_check,1,16,42,877,0,0.02,0.05,master
EDUC-ECAS,7,59,596,874,0.01,0.07,0.68,master
bcgov-Shiny-deployment-paths,1,2,12,869,0,0,0.01,master
wqo_shuswap,2,2,87,868,0,0,0.1,master
hydrometric_stations,15,2,53,863,0.02,0,0.06,master
isb-rsi-courtsintegration,2,1,1,863,0,0,0,master
moh-common-styles,14,151,1050,862,0.02,0.18,1.22,master
